temp,result
5,frisse
4.3,koude
3.1,koude
4.6,koude
5.1,frisse
1.2,koude
3,koude
-0.7,koude
-3.5,koude
-3.6,koude
4.7,koude
1.3,koude
-1.5,koude
-0.2,koude
1.7,koude
2.8,koude
4.5,koude
3,koude
0,koude
2.4,koude
6.6,frisse
7.3,frisse
7.7,frisse
6.6,frisse
9.6,frisse
10.6,gemiddelde
9.8,frisse
9.2,frisse
2.1,koude
1.1,koude
-1,koude
-2.1,koude
-2,koude
3,koude
4.4,koude
1.7,koude
0.6,koude
2.4,koude
5.5,frisse
6,frisse
5.7,frisse
4.9,koude
5.9,frisse
6.5,frisse
7.1,frisse
4.4,koude
6.3,frisse
6.5,frisse
8.1,frisse
6.2,frisse
7.7,frisse
8.7,frisse
9.2,frisse
8.4,frisse
7.1,frisse
5.5,frisse
4.7,koude
4.9,koude
10.2,gemiddelde
9.1,frisse
9.4,frisse
7.8,frisse
9.3,frisse
9.8,frisse
14.1,gemiddelde
9.9,frisse
11.8,gemiddelde
8.5,frisse
5.5,frisse
4.5,koude
4.4,koude
5.8,frisse
2.8,koude
4.5,koude
5.1,frisse
6,frisse
4.1,koude
1.7,koude
3.3,koude
5.5,frisse
5.8,frisse
8.7,frisse
8.8,frisse
7.8,frisse
8.8,frisse
7.5,frisse
8.3,frisse
8.4,frisse
6.8,frisse
8.6,frisse
8.5,frisse
8.5,frisse
7.6,frisse
8.1,frisse
7.8,frisse
8.8,frisse
11.1,gemiddelde
10.2,gemiddelde
8.9,frisse
8.3,frisse
9.2,frisse
7.3,frisse
7.7,frisse
7.7,frisse
7.2,frisse
5.8,frisse
8.1,frisse
13.6,gemiddelde
13.6,gemiddelde
10.1,gemiddelde
8.1,frisse
9,frisse
8.8,frisse
13.8,gemiddelde
15.2,gemiddelde
11.9,gemiddelde
14.1,gemiddelde
18.2,gemiddelde
14.4,gemiddelde
10.6,gemiddelde
9.5,frisse
7.5,frisse
9,frisse
7.8,frisse
8.6,frisse
9.2,frisse
9.4,frisse
11.4,gemiddelde
13.4,gemiddelde
10.4,gemiddelde
11.4,gemiddelde
10.5,gemiddelde
10.6,gemiddelde
11.1,gemiddelde
12.5,gemiddelde
10.7,gemiddelde
11.3,gemiddelde
10.8,gemiddelde
12,gemiddelde
10.8,gemiddelde
11.7,gemiddelde
10.4,gemiddelde
10.4,gemiddelde
10.5,gemiddelde
11,gemiddelde
12.3,gemiddelde
11.8,gemiddelde
12,gemiddelde
10.7,gemiddelde
11.2,gemiddelde
11.2,gemiddelde
12.4,gemiddelde
14.7,gemiddelde
15.2,gemiddelde
14.4,gemiddelde
13.9,gemiddelde
14.9,gemiddelde
17.1,gemiddelde
22.4,warme
20.4,warme
15.3,gemiddelde
16.3,gemiddelde
17.9,gemiddelde
15.7,gemiddelde
14.4,gemiddelde
14.9,gemiddelde
15.2,gemiddelde
16.8,gemiddelde
22.5,warme
20.9,warme
15.5,gemiddelde
18.1,gemiddelde
22.1,warme
22.8,warme
27.7,zomers
24.1,warme
28.2,zomers
